seed_image,judge,type,candidate_chosen,candidate_not_chosen
1,1,Plain,Plain0.5,Plain2
1,1,Plain,Plain2.25,Plain2
1,1,Plain,Plain1.75,Plain2
1,1,Plain,Plain2,Plain1.25
1,1,Plain,Plain1.5,Plain2
1,1,Plain,Plain2,Plain0.75
1,1,Plain,Plain2.5,Plain2
1,1,Plain,Plain2,Plain1
1,1,Plain,Plain2,Plain1.75
1,1,Plain,Plain2.25,Plain1.75
1,1,Plain,Plain1,Plain1.75
1,1,Plain,Plain1.75,Plain1.25
1,1,Plain,Plain1.75,Plain1.5
1,1,Plain,Plain1.75,Plain0.5
1,1,Plain,Plain2.5,Plain1.75
1,1,Plain,Plain1.75,Plain0.75
1,1,Plain,Plain2.5,Plain1
1,1,Plain,Plain2.5,Plain0.5
1,1,Plain,Plain2.5,Plain0.75
1,1,Plain,Plain2.5,Plain2
1,1,Plain,Plain2.25,Plain2.5
1,1,Plain,Plain2.5,Plain1.25
1,1,Plain,Plain2.5,Plain1.5
1,1,Plain,Plain2.5,Plain1.75
1,1,Plain,Plain1.5,Plain1
1,1,Plain,Plain1.75,Plain1.25
1,1,Plain,Plain2.5,Plain1.25
1,1,Plain,Plain0.5,Plain1.25
1,1,Plain,Plain1.25,Plain1
1,1,Plain,Plain0.75,Plain1.25
1,1,Plain,Plain1,Plain1.25
1,1,Plain,Plain2,Plain1
1,1,Plain,Plain1,Plain0.75
1,1,Plain,Plain0.5,Plain1
1,1,Plain,Plain2.5,Plain1
1,1,Plain,Plain1.75,Plain1
1,1,Plain,Plain1.5,Plain1.25
1,1,Plain,Plain2.25,Plain1.25
1,1,Plain,Plain2.25,Plain1
1,1,Plain,Plain2,Plain1.25
1,1,Plain,Plain1,Plain0.75
1,1,Plain,Plain2.5,Plain0.75
1,1,Plain,Plain2.25,Plain0.75
1,1,Plain,Plain1.5,Plain0.75
1,1,Plain,Plain0.75,Plain0.5
1,1,Plain,Plain1.75,Plain0.75
1,1,Plain,Plain0.75,Plain2
1,1,Plain,Plain1.25,Plain0.75
1,1,Plain,Plain0.5,Plain0.75
1,1,Plain,Plain1,Plain0.5
1,1,Plain,Plain1.5,Plain0.5
1,1,Plain,Plain1.75,Plain0.5
1,1,Plain,Plain0.5,Plain2.25
1,1,Plain,Plain2.5,Plain0.5
1,1,Plain,Plain2,Plain0.5
1,1,Plain,Plain1.25,Plain0.5
1,1,Plain,Plain1.5,Plain1.25
1,1,Plain,Plain1.5,Plain0.5
1,1,Plain,Plain1.5,Plain0.75
1,1,Plain,Plain1.5,Plain1
1,1,Plain,Plain1.75,Plain1.5
1,1,Plain,Plain2.5,Plain1.5
1,1,Plain,Plain2,Plain1.5
1,1,Plain,Plain2.25,Plain1.5
1,1,Plain,Plain2.25,Plain1.75
1,1,Plain,Plain2.25,Plain1.5
1,1,Plain,Plain2.5,Plain2.25
1,1,Plain,Plain2.25,Plain0.5
1,1,Plain,Plain2.25,Plain1.25
1,1,Plain,Plain2.25,Plain0.75
1,1,Plain,Plain2.25,Plain1
1,1,Plain,Plain2.25,Plain2
1,9,Plain,Plain1.75,Plain2
1,9,Plain,Plain2,Plain1.5
1,9,Plain,Plain2,Plain0.5
1,9,Plain,Plain2,Plain1
1,9,Plain,Plain2,Plain0.75
1,9,Plain,Plain2.25,Plain2
1,9,Plain,Plain2,Plain1.25
1,9,Plain,Plain2,Plain2.5
1,9,Plain,Plain1.25,Plain1
1,9,Plain,Plain2.25,Plain1.25
1,9,Plain,Plain2.5,Plain1
1,9,Plain,Plain1,Plain0.5
1,9,Plain,Plain2.25,Plain1
1,9,Plain,Plain1.5,Plain1.25
1,9,Plain,Plain1.75,Plain1.25
1,9,Plain,Plain1,Plain0.75
1,9,Plain,Plain2,Plain1
1,9,Plain,Plain1.75,Plain1
1,9,Plain,Plain1.25,Plain0.5
1,9,Plain,Plain1.5,Plain1
1,9,Plain,Plain1.25,Plain2.5
1,9,Plain,Plain2,Plain1.25
1,9,Plain,Plain1.25,Plain0.75
1,9,Plain,Plain1.25,Plain1
1,9,Plain,Plain1.75,Plain2.5
1,9,Plain,Plain2.5,Plain1
1,9,Plain,Plain1.25,Plain2.5
1,9,Plain,Plain2.5,Plain1.5
1,9,Plain,Plain2.25,Plain2.5
1,9,Plain,Plain2.5,Plain2
1,9,Plain,Plain2.5,Plain0.75
1,9,Plain,Plain2.5,Plain0.5
1,9,Plain,Plain1.75,Plain1.25
1,9,Plain,Plain1.75,Plain2.5
1,9,Plain,Plain1.75,Plain0.75
1,9,Plain,Plain1.75,Plain1
1,9,Plain,Plain2.25,Plain1.75
1,9,Plain,Plain1.75,Plain0.5
1,9,Plain,Plain1.75,Plain1.5
1,9,Plain,Plain2,Plain1.75
1,9,Plain,Plain2,Plain0.75
1,9,Plain,Plain2.5,Plain0.75
1,9,Plain,Plain1,Plain0.75
1,9,Plain,Plain1.25,Plain0.75
1,9,Plain,Plain0.75,Plain0.5
1,9,Plain,Plain1.75,Plain0.75
1,9,Plain,Plain1.5,Plain0.75
1,9,Plain,Plain2.25,Plain0.75
1,9,Plain,Plain2.25,Plain0.75
1,9,Plain,Plain2.25,Plain1
1,9,Plain,Plain2.25,Plain2
1,9,Plain,Plain1.75,Plain2.25
1,9,Plain,Plain2.5,Plain2.25
1,9,Plain,Plain2.25,Plain1.5
1,9,Plain,Plain2.25,Plain0.5
1,9,Plain,Plain2.25,Plain1.25
1,9,Plain,Plain2.25,Plain1.5
1,9,Plain,Plain1.5,Plain0.75
1,9,Plain,Plain1.75,Plain1.5
1,9,Plain,Plain1.5,Plain1.25
1,9,Plain,Plain2,Plain1.5
1,9,Plain,Plain1.5,Plain1
1,9,Plain,Plain1.5,Plain0.5
1,9,Plain,Plain2.5,Plain1.5
1,9,Plain,Plain2.5,Plain0.5
1,9,Plain,Plain1.75,Plain0.5
1,9,Plain,Plain0.5,Plain0.75
1,9,Plain,Plain1,Plain0.5
1,9,Plain,Plain1.25,Plain0.5
1,9,Plain,Plain1.5,Plain0.5
1,9,Plain,Plain2,Plain0.5
1,9,Plain,Plain2.25,Plain0.5
1,14,Plain,Plain0.5,Plain1.5
1,14,Plain,Plain1.5,Plain1.75
1,14,Plain,Plain1,Plain1.5
1,14,Plain,Plain1.25,Plain1.5
1,14,Plain,Plain2,Plain1.5
1,14,Plain,Plain2.5,Plain1.5
1,14,Plain,Plain1.5,Plain2.25
1,14,Plain,Plain0.75,Plain1.5
1,14,Plain,Plain1,Plain2.25
1,14,Plain,Plain2,Plain2.25
1,14,Plain,Plain0.5,Plain2.25
1,14,Plain,Plain1.75,Plain2.25
1,14,Plain,Plain1.25,Plain2.25
1,14,Plain,Plain1.5,Plain2.25
1,14,Plain,Plain0.75,Plain2.25
1,14,Plain,Plain2.25,Plain2.5
1,14,Plain,Plain0.75,Plain2.25
1,14,Plain,Plain0.75,Plain1.25
1,14,Plain,Plain0.75,Plain2
1,14,Plain,Plain1,Plain0.75
1,14,Plain,Plain0.75,Plain1.5
1,14,Plain,Plain0.75,Plain1.75
1,14,Plain,Plain0.75,Plain2.5
1,14,Plain,Plain0.75,Plain0.5
1,14,Plain,Plain0.75,Plain1.75
1,14,Plain,Plain1,Plain1.75
1,14,Plain,Plain1.75,Plain2.25
1,14,Plain,Plain0.5,Plain1.75
1,14,Plain,Plain1.75,Plain2.5
1,14,Plain,Plain1.75,Plain2
1,14,Plain,Plain1.25,Plain1.75
1,14,Plain,Plain1.5,Plain1.75
1,14,Plain,Plain0.5,Plain2
1,14,Plain,Plain0.75,Plain2
1,14,Plain,Plain2,Plain2.25
1,14,Plain,Plain1.75,Plain2
1,14,Plain,Plain2,Plain2.5
1,14,Plain,Plain1.25,Plain2
1,14,Plain,Plain1,Plain2
1,14,Plain,Plain1.5,Plain2
1,14,Plain,Plain0.5,Plain2
1,14,Plain,Plain1,Plain0.5
1,14,Plain,Plain0.5,Plain1.75
1,14,Plain,Plain0.5,Plain2.25
1,14,Plain,Plain0.75,Plain0.5
1,14,Plain,Plain0.5,Plain1.5
1,14,Plain,Plain0.5,Plain2.5
1,14,Plain,Plain0.5,Plain1.25
1,14,Plain,Plain0.75,Plain2.5
1,14,Plain,Plain1.5,Plain2.5
1,14,Plain,Plain0.5,Plain2.5
1,14,Plain,Plain1,Plain2.5
1,14,Plain,Plain1.75,Plain2.5
1,14,Plain,Plain2,Plain2.5
1,14,Plain,Plain1.25,Plain2.5
1,14,Plain,Plain2.25,Plain2.5
1,14,Plain,Plain1.25,Plain1.5
1,14,Plain,Plain1,Plain0.75
1,14,Plain,Plain1,Plain1.5
1,14,Plain,Plain1.25,Plain2
1,14,Plain,Plain1,Plain2.25
1,14,Plain,Plain1.25,Plain2.5
1,14,Plain,Plain1,Plain0.5
1,14,Plain,Plain1,Plain1.75
1,14,Plain,Plain1,Plain1.25
1,14,Plain,Plain1,Plain2
1,14,Plain,Plain0.75,Plain1.25
1,14,Plain,Plain1.25,Plain0.5
1,14,Plain,Plain1.25,Plain2.25
1,14,Plain,Plain1,Plain1.25
1,14,Plain,Plain1,Plain2.5
1,14,Plain,Plain1.25,Plain1.75
1,21,Plain,Plain2,Plain1.75
1,21,Plain,Plain0.75,Plain2
1,21,Plain,Plain0.5,Plain2
1,21,Plain,Plain2,Plain1.5
1,21,Plain,Plain1,Plain2
1,21,Plain,Plain2,Plain1.25
1,21,Plain,Plain2.25,Plain2
1,21,Plain,Plain2,Plain2.5
1,21,Plain,Plain0.75,Plain2.25
1,21,Plain,Plain1.5,Plain2.25
1,21,Plain,Plain1.75,Plain2.25
1,21,Plain,Plain2.5,Plain2.25
1,21,Plain,Plain2.25,Plain1.25
1,21,Plain,Plain2.25,Plain2
1,21,Plain,Plain2.25,Plain1
1,21,Plain,Plain2.25,Plain0.5
1,21,Plain,Plain0.5,Plain2.5
1,21,Plain,Plain2,Plain2.5
1,21,Plain,Plain2.5,Plain1.5
1,21,Plain,Plain2.5,Plain1.25
1,21,Plain,Plain0.75,Plain2.5
1,21,Plain,Plain2.5,Plain2.25
1,21,Plain,Plain2.5,Plain1.75
1,21,Plain,Plain1,Plain2.5
1,21,Plain,Plain1,Plain1.75
1,21,Plain,Plain1.75,Plain1.5
1,21,Plain,Plain2.5,Plain1.75
1,21,Plain,Plain2,Plain1.75
1,21,Plain,Plain0.5,Plain1.75
1,21,Plain,Plain1.75,Plain1.25
1,21,Plain,Plain0.75,Plain1.75
1,21,Plain,Plain2.25,Plain1.75
1,21,Plain,Plain0.75,Plain2.25
1,21,Plain,Plain0.75,Plain2
1,21,Plain,Plain0.75,Plain2.5
1,21,Plain,Plain0.75,Plain1.25
1,21,Plain,Plain0.75,Plain1.75
1,21,Plain,Plain0.75,Plain1.5
1,21,Plain,Plain0.75,Plain1
1,21,Plain,Plain0.75,Plain0.5
1,21,Plain,Plain1,Plain1.25
1,21,Plain,Plain1.25,Plain2.5
1,21,Plain,Plain1,Plain2.25
1,21,Plain,Plain1,Plain2
1,21,Plain,Plain1.25,Plain1.75
1,21,Plain,Plain1.25,Plain2
1,21,Plain,Plain0.5,Plain1.25
1,21,Plain,Plain0.75,Plain1
1,21,Plain,Plain1,Plain2.5
1,21,Plain,Plain1.25,Plain2.25
1,21,Plain,Plain1.25,Plain1.5
1,21,Plain,Plain1,Plain1.5
1,21,Plain,Plain1,Plain1.25
1,21,Plain,Plain1,Plain1.75
1,21,Plain,Plain0.75,Plain1.25
1,21,Plain,Plain0.5,Plain1
1,21,Plain,Plain1,Plain1.5
1,21,Plain,Plain1.25,Plain1.5
1,21,Plain,Plain2.25,Plain1.5
1,21,Plain,Plain0.5,Plain1.5
1,21,Plain,Plain1.5,Plain2
1,21,Plain,Plain2.5,Plain1.5
1,21,Plain,Plain0.75,Plain1.5
1,21,Plain,Plain1.75,Plain1.5
1,21,Plain,Plain2.25,Plain0.5
1,21,Plain,Plain0.5,Plain1.5
1,21,Plain,Plain0.5,Plain1.25
1,21,Plain,Plain0.5,Plain1.75
1,21,Plain,Plain0.5,Plain1
1,21,Plain,Plain0.5,Plain2.5
1,21,Plain,Plain0.5,Plain0.75
1,21,Plain,Plain0.5,Plain2
1,22,Plain,Plain2.5,Plain2.25
1,22,Plain,Plain2.5,Plain1.5
1,22,Plain,Plain1,Plain2.5
1,22,Plain,Plain1.25,Plain2.5
1,22,Plain,Plain2.5,Plain0.5
1,22,Plain,Plain2.5,Plain2
1,22,Plain,Plain1.75,Plain2.5
1,22,Plain,Plain2.5,Plain0.75
1,22,Plain,Plain1.75,Plain0.5
1,22,Plain,Plain1.75,Plain0.75
1,22,Plain,Plain1.75,Plain1
1,22,Plain,Plain1.25,Plain1.75
1,22,Plain,Plain2.25,Plain1.75
1,22,Plain,Plain1.75,Plain2
1,22,Plain,Plain1.75,Plain2.5
1,22,Plain,Plain1.5,Plain1.75
1,22,Plain,Plain2.25,Plain2
1,22,Plain,Plain2,Plain0.75
1,22,Plain,Plain2.5,Plain2
1,22,Plain,Plain2,Plain1.25
1,22,Plain,Plain1.75,Plain2
1,22,Plain,Plain2,Plain0.5
1,22,Plain,Plain1.5,Plain2
1,22,Plain,Plain2,Plain1
1,22,Plain,Plain2,Plain1
1,22,Plain,Plain1.25,Plain0.5
1,22,Plain,Plain1.25,Plain1.5
1,22,Plain,Plain1,Plain0.75
1,22,Plain,Plain1.25,Plain2.5
1,22,Plain,Plain1,Plain0.5
1,22,Plain,Plain1.25,Plain2.25
1,22,Plain,Plain1.25,Plain2
1,22,Plain,Plain1.25,Plain1
1,22,Plain,Plain1.25,Plain1
1,22,Plain,Plain1,Plain2.5
1,22,Plain,Plain1,Plain2.25
1,22,Plain,Plain1.75,Plain1
1,22,Plain,Plain1.25,Plain0.75
1,22,Plain,Plain1.5,Plain1
1,22,Plain,Plain1.25,Plain1.75
1,22,Plain,Plain1.5,Plain2
1,22,Plain,Plain2.5,Plain1.5
1,22,Plain,Plain1.5,Plain1.75
1,22,Plain,Plain1.5,Plain2.25
1,22,Plain,Plain1.5,Plain0.75
1,22,Plain,Plain1.5,Plain0.5
1,22,Plain,Plain1,Plain1.5
1,22,Plain,Plain1.5,Plain1.25
1,22,Plain,Plain2.25,Plain2
1,22,Plain,Plain2.25,Plain2.5
1,22,Plain,Plain2.25,Plain0.5
1,22,Plain,Plain2.25,Plain1
1,22,Plain,Plain2.25,Plain0.75
1,22,Plain,Plain2.25,Plain1.5
1,22,Plain,Plain2.25,Plain1.75
1,22,Plain,Plain1.25,Plain2.25
1,22,Plain,Plain1.75,Plain0.75
1,22,Plain,Plain1,Plain0.75
1,22,Plain,Plain0.75,Plain0.5
1,22,Plain,Plain1.25,Plain0.75
1,22,Plain,Plain2.25,Plain0.75
1,22,Plain,Plain1.5,Plain0.75
1,22,Plain,Plain2,Plain0.75
1,22,Plain,Plain2.5,Plain0.75
1,22,Plain,Plain0.5,Plain1.25
1,22,Plain,Plain1.5,Plain0.5
1,22,Plain,Plain0.5,Plain2
1,22,Plain,Plain1.75,Plain0.5
1,22,Plain,Plain2.25,Plain0.5
1,22,Plain,Plain2.5,Plain0.5
1,22,Plain,Plain0.5,Plain0.75
1,22,Plain,Plain1,Plain0.5
1,34,Plain,Plain2.5,Plain0.5
1,34,Plain,Plain2.5,Plain1
1,34,Plain,Plain1.5,Plain2.5
1,34,Plain,Plain0.75,Plain2.5
1,34,Plain,Plain1.75,Plain2.5
1,34,Plain,Plain2.5,Plain2.25
1,34,Plain,Plain1.25,Plain2.5
1,34,Plain,Plain2.5,Plain2
1,34,Plain,Plain0.5,Plain2.5
1,34,Plain,Plain0.5,Plain2.25
1,34,Plain,Plain1.25,Plain0.5
1,34,Plain,Plain1.75,Plain0.5
1,34,Plain,Plain1,Plain0.5
1,34,Plain,Plain1.5,Plain0.5
1,34,Plain,Plain2,Plain0.5
1,34,Plain,Plain0.5,Plain0.75
1,34,Plain,Plain1.5,Plain1.25
1,34,Plain,Plain1.5,Plain1
1,34,Plain,Plain1.5,Plain0.5
1,34,Plain,Plain1.5,Plain2.25
1,34,Plain,Plain1.5,Plain1.75
1,34,Plain,Plain1.5,Plain0.75
1,34,Plain,Plain1.5,Plain2.5
1,34,Plain,Plain1.5,Plain2
1,34,Plain,Plain2,Plain2.25
1,34,Plain,Plain1.75,Plain2.25
1,34,Plain,Plain2.25,Plain2.5
1,34,Plain,Plain0.5,Plain2.25
1,34,Plain,Plain1.25,Plain2.25
1,34,Plain,Plain2.25,Plain0.75
1,34,Plain,Plain2.25,Plain1
1,34,Plain,Plain2.25,Plain1.5
1,34,Plain,Plain2,Plain2.25
1,34,Plain,Plain2,Plain0.5
1,34,Plain,Plain1.25,Plain2
1,34,Plain,Plain2,Plain0.75
1,34,Plain,Plain1.75,Plain2
1,34,Plain,Plain2,Plain2.5
1,34,Plain,Plain1.5,Plain2
1,34,Plain,Plain2,Plain1
1,34,Plain,Plain1.25,Plain0.5
1,34,Plain,Plain2.25,Plain1
1,34,Plain,Plain2.5,Plain1
1,34,Plain,Plain1.5,Plain1
1,34,Plain,Plain1.5,Plain1.25
1,34,Plain,Plain0.75,Plain1
1,34,Plain,Plain1.25,Plain2.5
1,34,Plain,Plain2,Plain1.25
1,34,Plain,Plain1.75,Plain1
1,34,Plain,Plain1.25,Plain1
1,34,Plain,Plain1.25,Plain0.75
1,34,Plain,Plain1.25,Plain1.75
1,34,Plain,Plain1,Plain2
1,34,Plain,Plain1,Plain0.5
1,34,Plain,Plain1,Plain1.25
1,34,Plain,Plain1.25,Plain2.25
1,34,Plain,Plain2.5,Plain0.75
1,34,Plain,Plain0.75,Plain0.5
1,34,Plain,Plain1.75,Plain0.75
1,34,Plain,Plain2,Plain0.75
1,34,Plain,Plain2.25,Plain0.75
1,34,Plain,Plain1.5,Plain0.75
1,34,Plain,Plain1,Plain0.75
1,34,Plain,Plain1.25,Plain0.75
1,34,Plain,Plain1.75,Plain2
1,34,Plain,Plain1.75,Plain0.75
1,34,Plain,Plain1.5,Plain1.75
1,34,Plain,Plain1.75,Plain1.25
1,34,Plain,Plain1.75,Plain2.5
1,34,Plain,Plain1.75,Plain0.5
1,34,Plain,Plain1.75,Plain1
1,34,Plain,Plain1.75,Plain2.25
1,39,Plain,Plain0.75,Plain1.75
1,39,Plain,Plain1.5,Plain0.75
1,39,Plain,Plain2.25,Plain0.75
1,39,Plain,Plain0.75,Plain0.5
1,39,Plain,Plain1,Plain0.75
1,39,Plain,Plain2,Plain0.75
1,39,Plain,Plain2.5,Plain0.75
1,39,Plain,Plain1.25,Plain0.75
1,39,Plain,Plain0.5,Plain2
1,39,Plain,Plain1.75,Plain0.5
1,39,Plain,Plain2.25,Plain0.5
1,39,Plain,Plain1.5,Plain0.5
1,39,Plain,Plain1,Plain0.5
1,39,Plain,Plain0.5,Plain2.5
1,39,Plain,Plain1.25,Plain0.5
1,39,Plain,Plain0.75,Plain0.5
1,39,Plain,Plain2.5,Plain2
1,39,Plain,Plain2,Plain1
1,39,Plain,Plain1.75,Plain2
1,39,Plain,Plain1.25,Plain2
1,39,Plain,Plain0.75,Plain2
1,39,Plain,Plain0.5,Plain2
1,39,Plain,Plain2,Plain2.25
1,39,Plain,Plain1.5,Plain2
1,39,Plain,Plain1.25,Plain2.5
1,39,Plain,Plain1.25,Plain2
1,39,Plain,Plain1.25,Plain1.75
1,39,Plain,Plain0.75,Plain1
1,39,Plain,Plain1,Plain2
1,39,Plain,Plain1.25,Plain0.75
1,39,Plain,Plain1.75,Plain1
1,39,Plain,Plain1.25,Plain1
1,39,Plain,Plain1,Plain0.5
1,39,Plain,Plain1.25,Plain0.5
1,39,Plain,Plain1.5,Plain1.25
1,39,Plain,Plain1.25,Plain2.25
1,39,Plain,Plain1,Plain2.5
1,39,Plain,Plain1,Plain2.25
1,39,Plain,Plain1.5,Plain1
1,39,Plain,Plain1.25,Plain1
1,39,Plain,Plain1,Plain2.5
1,39,Plain,Plain1.75,Plain2.5
1,39,Plain,Plain0.75,Plain2.5
1,39,Plain,Plain1.5,Plain2.5
1,39,Plain,Plain2,Plain2.5
1,39,Plain,Plain1.25,Plain2.5
1,39,Plain,Plain0.5,Plain2.5
1,39,Plain,Plain2.25,Plain2.5
1,39,Plain,Plain1.75,Plain2
1,39,Plain,Plain1.25,Plain1.75
1,39,Plain,Plain1,Plain1.75
1,39,Plain,Plain0.5,Plain1.75
1,39,Plain,Plain1.5,Plain1.75
1,39,Plain,Plain1.75,Plain2.25
1,39,Plain,Plain1.75,Plain2.5
1,39,Plain,Plain0.75,Plain1.75
1,39,Plain,Plain1.5,Plain2.25
1,39,Plain,Plain0.75,Plain1.5
1,39,Plain,Plain1.5,Plain2.5
1,39,Plain,Plain1.5,Plain1.75
1,39,Plain,Plain0.5,Plain1.5
1,39,Plain,Plain1.5,Plain1.25
1,39,Plain,Plain1.5,Plain2
1,39,Plain,Plain1,Plain1.5
1,39,Plain,Plain0.5,Plain2.25
1,39,Plain,Plain2.25,Plain2
1,39,Plain,Plain1,Plain2.25
1,39,Plain,Plain1.75,Plain2.25
1,39,Plain,Plain1.25,Plain2.25
1,39,Plain,Plain0.75,Plain2.25
1,39,Plain,Plain2.5,Plain2.25
1,39,Plain,Plain1.5,Plain2.25
1,40,Plain,Plain0.5,Plain2
1,40,Plain,Plain1,Plain2
1,40,Plain,Plain1.75,Plain2
1,40,Plain,Plain0.75,Plain2
1,40,Plain,Plain1.5,Plain2
1,40,Plain,Plain2,Plain2.25
1,40,Plain,Plain2,Plain2.5
1,40,Plain,Plain1.25,Plain2
1,40,Plain,Plain0.5,Plain2.5
1,40,Plain,Plain0.5,Plain1.5
1,40,Plain,Plain0.5,Plain1.75
1,40,Plain,Plain0.5,Plain1
1,40,Plain,Plain0.5,Plain2.25
1,40,Plain,Plain0.5,Plain2
1,40,Plain,Plain0.75,Plain0.5
1,40,Plain,Plain1.25,Plain0.5
1,40,Plain,Plain0.75,Plain2
1,40,Plain,Plain0.75,Plain1.75
1,40,Plain,Plain1,Plain0.75
1,40,Plain,Plain0.75,Plain1.5
1,40,Plain,Plain0.75,Plain2.5
1,40,Plain,Plain1.25,Plain0.75
1,40,Plain,Plain0.75,Plain0.5
1,40,Plain,Plain0.75,Plain2.25
1,40,Plain,Plain1,Plain2.5
1,40,Plain,Plain1.25,Plain0.5
1,40,Plain,Plain1.25,Plain0.75
1,40,Plain,Plain1,Plain0.75
1,40,Plain,Plain1.25,Plain1
1,40,Plain,Plain1.25,Plain2.5
1,40,Plain,Plain1.25,Plain1
1,40,Plain,Plain1.25,Plain2
1,40,Plain,Plain1,Plain2
1,40,Plain,Plain1.25,Plain2.25
1,40,Plain,Plain1,Plain1.75
1,40,Plain,Plain1.25,Plain1.75
1,40,Plain,Plain1.25,Plain1.5
1,40,Plain,Plain1,Plain0.5
1,40,Plain,Plain1,Plain1.5
1,40,Plain,Plain1,Plain2.25
1,40,Plain,Plain1.5,Plain1.75
1,40,Plain,Plain1.5,Plain2.5
1,40,Plain,Plain1.25,Plain1.5
1,40,Plain,Plain1,Plain1.5
1,40,Plain,Plain0.75,Plain1.5
1,40,Plain,Plain1.5,Plain2
1,40,Plain,Plain0.5,Plain1.5
1,40,Plain,Plain1.5,Plain2.25
1,40,Plain,Plain1.5,Plain2.25
1,40,Plain,Plain1,Plain2.25
1,40,Plain,Plain1.75,Plain2.25
1,40,Plain,Plain2.25,Plain2.5
1,40,Plain,Plain0.5,Plain2.25
1,40,Plain,Plain2,Plain2.25
1,40,Plain,Plain1.25,Plain2.25
1,40,Plain,Plain0.75,Plain2.25
1,40,Plain,Plain0.5,Plain2.5
1,40,Plain,Plain2.25,Plain2.5
1,40,Plain,Plain1,Plain2.5
1,40,Plain,Plain1.25,Plain2.5
1,40,Plain,Plain0.75,Plain2.5
1,40,Plain,Plain1.5,Plain2.5
1,40,Plain,Plain1.75,Plain2.5
1,40,Plain,Plain2,Plain2.5
1,40,Plain,Plain1.5,Plain1.75
1,40,Plain,Plain0.5,Plain1.75
1,40,Plain,Plain0.75,Plain1.75
1,40,Plain,Plain1.75,Plain2.25
1,40,Plain,Plain1.25,Plain1.75
1,40,Plain,Plain1.75,Plain2
1,40,Plain,Plain1.75,Plain2.5
1,40,Plain,Plain1,Plain1.75
1,53,Plain,Plain2.5,Plain0.75
1,53,Plain,Plain0.75,Plain2.25
1,53,Plain,Plain1.5,Plain0.75
1,53,Plain,Plain0.75,Plain0.5
1,53,Plain,Plain1,Plain0.75
1,53,Plain,Plain1.25,Plain0.75
1,53,Plain,Plain2,Plain0.75
1,53,Plain,Plain0.75,Plain1.75
1,53,Plain,Plain2.25,Plain1.75
1,53,Plain,Plain0.5,Plain1.75
1,53,Plain,Plain0.75,Plain1.75
1,53,Plain,Plain2.5,Plain1.75
1,53,Plain,Plain1.75,Plain1
1,53,Plain,Plain1.75,Plain1.25
1,53,Plain,Plain1.5,Plain1.75
1,53,Plain,Plain2,Plain1.75
1,53,Plain,Plain2,Plain1.5
1,53,Plain,Plain0.5,Plain2
1,53,Plain,Plain2.5,Plain2
1,53,Plain,Plain2,Plain1.25
1,53,Plain,Plain0.75,Plain2
1,53,Plain,Plain2.25,Plain2
1,53,Plain,Plain1.75,Plain2
1,53,Plain,Plain1,Plain2
1,53,Plain,Plain1.25,Plain1.5
1,53,Plain,Plain1,Plain1.25
1,53,Plain,Plain1,Plain1.75
1,53,Plain,Plain0.5,Plain1
1,53,Plain,Plain1,Plain1.25
1,53,Plain,Plain1,Plain2.5
1,53,Plain,Plain2.25,Plain1.25
1,53,Plain,Plain1.25,Plain1.75
1,53,Plain,Plain1,Plain2
1,53,Plain,Plain2.5,Plain1.25
1,53,Plain,Plain1.25,Plain0.5
1,53,Plain,Plain1.25,Plain2
1,53,Plain,Plain2.25,Plain1
1,53,Plain,Plain0.75,Plain1
1,53,Plain,Plain1,Plain1.5
1,53,Plain,Plain0.75,Plain1.25
1,53,Plain,Plain1,Plain1.5
1,53,Plain,Plain1.25,Plain1.5
1,53,Plain,Plain1.5,Plain1.75
1,53,Plain,Plain1.5,Plain2
1,53,Plain,Plain0.5,Plain1.5
1,53,Plain,Plain0.75,Plain1.5
1,53,Plain,Plain2.5,Plain1.5
1,53,Plain,Plain2.25,Plain1.5
1,53,Plain,Plain2.25,Plain1.5
1,53,Plain,Plain2.25,Plain1.75
1,53,Plain,Plain2.25,Plain2
1,53,Plain,Plain1.25,Plain2.25
1,53,Plain,Plain0.75,Plain2.25
1,53,Plain,Plain2.5,Plain2.25
1,53,Plain,Plain0.5,Plain2.25
1,53,Plain,Plain2.25,Plain1
1,53,Plain,Plain2.5,Plain1.5
1,53,Plain,Plain2.25,Plain2.5
1,53,Plain,Plain2.5,Plain1.25
1,53,Plain,Plain1.75,Plain2.5
1,53,Plain,Plain2.5,Plain0.75
1,53,Plain,Plain2.5,Plain0.5
1,53,Plain,Plain2.5,Plain2
1,53,Plain,Plain2.5,Plain1
1,53,Plain,Plain0.5,Plain1.25
1,53,Plain,Plain2.5,Plain0.5
1,53,Plain,Plain0.5,Plain1.75
1,53,Plain,Plain0.5,Plain2.25
1,53,Plain,Plain0.5,Plain1.5
1,53,Plain,Plain0.5,Plain0.75
1,53,Plain,Plain0.5,Plain1
1,53,Plain,Plain0.5,Plain2
1,58,Plain,Plain0.5,Plain0.75
1,58,Plain,Plain0.75,Plain1.5
1,58,Plain,Plain0.75,Plain1.25
1,58,Plain,Plain0.75,Plain2.5
1,58,Plain,Plain0.75,Plain1.75
1,58,Plain,Plain0.75,Plain2
1,58,Plain,Plain0.75,Plain1
1,58,Plain,Plain0.75,Plain2.25
1,58,Plain,Plain1.25,Plain1.5
1,58,Plain,Plain1,Plain1.75
1,58,Plain,Plain1.25,Plain1
1,58,Plain,Plain1.25,Plain1
1,58,Plain,Plain1.25,Plain1.75
